timestamps,VbPASP_IVPresent_flg,VbPASP_NIIVLPresent_flg,VbPASP_NIIVRPresent_flg,VbPASP_NIVLPresent_flg,VbPASP_NIVRPresent_flg,VbPASP_RIIVLPresent_flg,VbPASP_RIIVRPresent_flg,VbPASP_RIVLPresent_flg,VbPASP_RIVPresent_flg,VbPASP_RIVRPresent_flg,VeINP_TSRID0Proc,VeINP_TSRID1Proc,VeINP_TSRID2Proc,VeLGIN_ISLCOverSpeedAlarmSts,VeLGIN_TSI_SignShortStayMisc_1,VeLGIN_TSI_SignShortStayMisc_2,VePASP_ACCMode,VePASP_AlcGapIndex,VePASP_AutoLaneChgSide,VePASP_AutoLaneChgSts,VePASP_EHNearestMergeptDirForEgo,VePASP_IVClass,VePASP_LeftBoundaryType,VePASP_NaviPilotIsRamp,VePASP_NIIVLClass_enum,VePASP_NIIVLCutIn,VePASP_NIIVRClass_enum,VePASP_NIIVRCutIn,VePASP_NIVLClass_enum,VePASP_NIVLCutIn,VePASP_NIVRClass_enum,VePASP_NIVRCutIn,VePASP_NoaRampMainFlg,VePASP_NOAStatus,VePASP_RightBoundaryType,VePASP_RIIVLClass_enum,VePASP_RIIVRClass_enum,VePASP_RIVClass_enum,VePASP_RIVLClass_enum,VePASP_RIVRClass_enum,VePASP_ScenarioFlg,VePASP_SpdPlanEnblSts,VePASP_SpecialCaseFlg,VePASP_TauGapSet,VfINP_TSRSignLatDist0Proc_m,VfINP_TSRSignLatDist1Proc_m,VfINP_TSRSignLatDist2Proc_m,VfINP_TSRSignLgDist0Proc_m,VfINP_TSRSignLgDist1Proc_m,VfINP_TSRSignLgDist2Proc_m,VfLGIN_TsrTrgtSpdReq_kph,VfPASP_ACC_Dref_m,VfPASP_ACC_SetSpeedByCurve_kph,VfPASP_ALC_path_C0,VfPASP_ALC_path_C1,VfPASP_ALC_path_C2,VfPASP_ALC_path_C3,VfPASP_ALC_path_C4,VfPASP_ALC_path_C5,VfPASP_ALC_path_ViewRng,VfPASP_AlcGapSt_C0,VfPASP_AlcGapSt_C1,VfPASP_AlcGapSt_C2,VfPASP_AlcGapSt_C3,VfPASP_AlcGapSt_C4,VfPASP_AlcGapSt_C5,VfPASP_AlcGapTarS_m,VfPASP_AlcGapTarV_mps,VfPASP_egoAcc_mpss,VfPASP_egoSpd_mps,VfPASP_EHNearestMergedist_m,VfPASP_EnvModel_LA0FirstVREnd,VfPASP_EnvModel_LA0FirstVRStart,VfPASP_EnvModel_LA0LineFirstC0,VfPASP_EnvModel_LA0LineFirstC1,VfPASP_EnvModel_LA0LineFirstC2,VfPASP_EnvModel_LA0LineFirstC3,VfPASP_EnvModel_LA1FirstVREnd,VfPASP_EnvModel_LA1FirstVRStart,VfPASP_EnvModel_LA1LineFirstC0,VfPASP_EnvModel_LA1LineFirstC1,VfPASP_EnvModel_LA1LineFirstC2,VfPASP_EnvModel_LA1LineFirstC3,VfPASP_EnvModel_LH0FirstVREnd,VfPASP_EnvModel_LH0FirstVRStart,VfPASP_EnvModel_LH0LineFirstC0,VfPASP_EnvModel_LH0LineFirstC1,VfPASP_EnvModel_LH0LineFirstC2,VfPASP_EnvModel_LH0LineFirstC3,VfPASP_EnvModel_LH1FirstVREnd,VfPASP_EnvModel_LH1FirstVRStart,VfPASP_EnvModel_LH1LineFirstC0,VfPASP_EnvModel_LH1LineFirstC1,VfPASP_EnvModel_LH1LineFirstC2,VfPASP_EnvModel_LH1LineFirstC3,VfPASP_EnvModelPath_C0,VfPASP_EnvModelPath_C1,VfPASP_EnvModelPath_C2,VfPASP_EnvModelPath_C3_1,VfPASP_EnvModelPath_C3_2,VfPASP_EnvModelPath_C3_3,VfPASP_EnvModelPath_Length1,VfPASP_EnvModelPath_Length2,VfPASP_EnvModelPath_Length3,VfPASP_InnerSetSpd_kph,VfPASP_IVAcc_mpss,VfPASP_IVHeading_rad,VfPASP_IVLaDis_m,VfPASP_IVLaSpd_mps,VfPASP_IVLgDis_m,VfPASP_IVV_mps,VfPASP_NIIVLAcc_mpss,VfPASP_NIIVLHeading_rad,VfPASP_NIIVLLaDis_m,VfPASP_NIIVLLaV_mps,VfPASP_NIIVLLgDis_m,VfPASP_NIIVLV_mps,VfPASP_NIIVRAcc_mpss,VfPASP_NIIVRHeading_rad,VfPASP_NIIVRLaDis_m,VfPASP_NIIVRLaV_mps,VfPASP_NIIVRLgDis_m,VfPASP_NIIVRV_mps,VfPASP_NIVLAcc_mpss,VfPASP_NIVLHeading_rad,VfPASP_NIVLLaDis_m,VfPASP_NIVLLaV_mps,VfPASP_NIVLLgDis_m,VfPASP_NIVLV_mps,VfPASP_NIVRAcc_mpss,VfPASP_NIVRHeading_rad,VfPASP_NIVRLaDis_m,VfPASP_NIVRLaV_mps,VfPASP_NIVRLgDis_m,VfPASP_NIVRV_mps,VfPASP_RIIVLAcc_mpss,VfPASP_RIIVLHeading_rad,VfPASP_RIIVLLaDis_m,VfPASP_RIIVLLaV_mps,VfPASP_RIIVLLgDis_m,VfPASP_RIIVLV_mps,VfPASP_RIIVRAcc_mpss,VfPASP_RIIVRHeading_rad,VfPASP_RIIVRLaDis_m,VfPASP_RIIVRLaV_mps,VfPASP_RIIVRLgDis_m,VfPASP_RIIVRV_mps,VfPASP_RIVAcc_mpss,VfPASP_RIVHeading_rad,VfPASP_RIVLAcc_mpss,VfPASP_RIVLaDis_m,VfPASP_RIVLaV_mps,VfPASP_RIVLgDis_m,VfPASP_RIVLHeading_rad,VfPASP_RIVLLaDis_m,VfPASP_RIVLLaV_mps,VfPASP_RIVLLgDis_m,VfPASP_RIVLV_mps,VfPASP_RIVRAcc_mpss,VfPASP_RIVRHeading_rad,VfPASP_RIVRLaDis_m,VfPASP_RIVRLaV_mps,VfPASP_RIVRLgDis_m,VfPASP_RIVRV_mps,VfPASP_RIVV_mps,VfPASP_spdLmt_kph,VfPASP_StPoint0_a_mpss,VfPASP_StPoint0_s_m,VfPASP_StPoint0_t_s,VfPASP_StPoint0_v_mps,VfPASP_StPoint1_a_mpss,VfPASP_StPoint1_s_m,VfPASP_StPoint1_t_s,VfPASP_StPoint1_v_mps,VfPASP_StPoint2_a_mpss,VfPASP_StPoint2_s_m,VfPASP_StPoint2_t_s,VfPASP_StPoint2_v_mps,VfPASP_StPoint3_a_mpss,VfPASP_StPoint3_s_m,VfPASP_StPoint3_t_s,VfPASP_StPoint3_v_mps,VfPASP_StPoint4_a_mpss,VfPASP_StPoint4_s_m,VfPASP_StPoint4_t_s,VfPASP_StPoint4_v_mps,VfPASP_StPoint5_a_mpss,VfPASP_StPoint5_s_m,VfPASP_StPoint5_t_s,VfPASP_StPoint5_v_mps,VfPASP_StPointCtrl0_a_mpss,VfPASP_StPointCtrl0_s_m,VfPASP_StPointCtrl0_t_s,VfPASP_StPointCtrl0_v_mps,ViPASP_EHMerge_DP_ID,VuINP_TSRSignName0Proc,VuINP_TSRSignName1Proc,VuINP_TSRSignName2Proc,VuPASP_NaviPilot1stExitDis_m,VuPASP_NaviPilot1stRampOnDis_m
1020.059714,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,5,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,7,0,0,1,-32,-32,-32,-100,-100,-100,40,25.46875191,118.9939423,0.126516283,-0.011061878,-0.00050446,6.47E-06,0,0,85.6205368,0,0,0,0,0,0,0,0,0.69580096,15.50347233,252.9337921,-200,-200,0,0,0,0,90.77999878,0,-5.183970928,-0.008897781,-0.000597954,7.14E-06,74.47000122,0,1.799226284,-0.008394415,-0.000467009,5.06E-06,88.13000488,0,-1.575483203,-0.010821563,-0.000488292,6.49E-06,0.095168769,-0.00967735,-0.000699154,1.20E-05,0,0,29.68032455,40,19.33101845,60,0.825666487,0.019996986,2.555391312,0.441859007,106.5245132,22.09333038,0,0,99,0,200,0,0,0,99,0,200,0,0,0,99.00499725,0,200,0,0,0,99.00499725,0,200,0,0,0,0,0,0,15.46875095,0,0,0,0,0,15.46875095,-0.5,-0.100000001,0,2.399999857,-0.709999979,-51.09999847,0,0,0,0,15.46875095,0,-0.01,3.899999857,-0.109999999,-13.30000019,20.14875031,15.93875027,70,0.486773729,0,0,15.50347233,0.445544362,15.95347214,1,15.95347214,0.297028959,32.20694351,2,16.25347137,-0.346529365,48.11042023,3,15.90347672,-3.78E-06,64.01389313,4,15.9034729,0,79.91736603,5,15.9034729,0.435333163,11.16742992,0.699999988,15.81847191,1,0,0,0,0,144
1020.201897,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,5,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,7,0,0,1,-32,-32,-32,-100,-100,-100,40,25.59027863,127.4868546,0.080654502,-0.008513408,-0.000450632,5.39E-06,0,0,85.3423233,0,0,0,0,0,0,0,0,0.744800985,15.5555563,249.7165222,-200,-200,0,0,0,0,85.86999512,0,-5.236806393,-0.010030746,-0.000523567,7.15E-06,89.04998779,0,1.704995394,-0.003855473,-0.000402695,3.70E-06,83.86999512,0,-1.630998135,-0.005544703,-0.000391424,5.50E-06,0.068637468,-0.009192111,-0.000565663,1.23E-05,0,0,26.1968689,40,14.86676598,60,0.846259236,0.019996986,2.355390549,0.442930579,106.9754791,22.14691162,0,0,99,0,200,0,0,0,99,0,200,0,0,0,99.00499725,0,200,0,0,0,99.00499725,0,200,0,0,0,0,0,0,15.59027863,0,0,0,0,0,15.53819561,-0.600000024,-0.159999996,0,2.299999952,-1.639999986,-51,0,0,0,0,15.59027863,0,-0.01,3.899999857,-0.140000001,-12.30000019,20.28027916,15.92027855,70,0.494949549,0,0,15.5555563,0.445544362,16.00555611,1,16.00555611,0.297028959,32.31111145,2,16.30555534,-0.346531272,48.26667023,3,15.95555878,-7.55E-06,64.22222137,4,15.95555115,0,80.17777252,5,15.95555115,0.446329683,11.20388889,0.699999988,15.87055588,1,0,0,0,0,144
1020.339422,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,5,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,7,0,0,1,-32,-32,-32,-100,-100,-100,40,25.62500191,134.7371674,0.03324604,-0.004247133,-0.000383603,4.44E-06,0,0,87.5592804,0,0,0,0,0,0,0,0,0.901600957,15.67708397,248.9122009,-200,-200,0,0,0,0,89.35998535,0,-5.249053478,-0.009075165,-0.000499725,6.97E-06,90.08999634,0,1.681119561,-0.002616743,-0.000383385,3.49E-06,85.75,0,-1.638543844,-0.003854306,-0.000357591,4.98E-06,0.061286774,-0.00871404,-0.000503786,1.29E-05,1.32E-09,0,25.02593231,40,16.83033943,60,0,0.009996996,1.855388522,0.195942417,96.34313202,19.59947777,0,0,99,0,200,0,0,0,99,0,200,0,0,0,99.00499725,0,200,0,0,0,99.00499725,0,200,0,0,0,0,0,0,15.62500095,0,0,0,0,0,15.62500095,-0.600000024,-0.07,0,2.5,-0.49000001,-51.39999771,0,0,0,0,15.62500095,-0.100000001,-0.01,3.899999857,-0.140000001,-12.10000038,20.29500008,15.93500042,70,0.557549238,0,0,15.67708397,0.445545316,16.12708473,1,16.12708473,0.297028959,32.5541687,2,16.42708397,-0.346538812,48.63124847,3,16.07707977,7.55E-06,64.70833588,4,16.0770874,-7.63E-06,80.78541565,5,16.07707977,0.461788952,11.2889595,0.699999988,15.9920845,1,0,0,0,0,129
1020.473737,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,5,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,7,0,0,1,-32,-32,-32,-100,-100,-100,40,25.67708397,135,0.017708182,-0.002263488,-0.000347193,3.68E-06,0,0,103.1208954,0,0,0,0,0,0,0,0,0.872200966,15.72916698,246.0970764,-200,-200,0,0,0,0,89.27999878,0,-5.240962029,-0.005588531,-0.000483513,5.99E-06,117.7399902,0,1.672421694,-9.76E-05,-0.000346,2.46E-06,90.88000488,0,-1.639832973,-0.00318361,-0.000331059,4.37E-06,0.046268269,-0.007873356,-0.000431688,1.32E-05,-3.03E-08,0,23.44344902,40,20.31205368,60,0.027207552,0.009996996,1.755388141,0.223291665,100.4378738,22.3351326,0,0,99,0,200,0,0,0,99,0,200,0,0,0,99.00499725,0,200,0,0,0,99.00499725,0,200,0,0,0,0,0,0,15.67708397,0,0,0,0,0,15.67708397,-0.600000024,-0.07,0,2.599999905,-0.129999995,-51.29999924,0,0,0,0,15.67708397,-0.200000003,-0.01,4,-0.150000006,-11.5,20.32708359,15.91708374,70,0.548736632,0,0,15.72916698,0.445544362,16.17916679,1,16.17916679,0.297028959,32.65833282,2,16.47916603,-0.346535027,48.78749847,3,16.12916565,0,64.91666412,4,16.12916565,0,81.04582977,5,16.12916565,0.466436177,11.32541656,0.699999988,16.04416656,1,0,0,0,0,129
1020.608921,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,5,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,7,0,0,1,-32,-32,-32,-100,-100,-100,40,25.85069466,135,0.012185872,-0.001152683,-0.000324578,3.36E-06,0,0,103.4917145,0,0,0,0,0,0,0,0,0.862400949,15.79861164,243.6841125,-200,-200,0,0,0,0,79.92001343,0,-5.236453533,-0.001688004,-0.000423431,5.49E-06,118.9599915,0,1.666600347,0.00338736,-0.000288953,1.45E-06,118.4700012,0,-1.657106757,0.00025829,-0.000249552,2.81E-06,0.020945422,-0.007341628,-0.000303304,1.28E-05,-4.05E-07,0,19.92258072,40,27.00623131,60,0.120233424,-2.99E-06,1.505387187,-6.72E-05,105.8535309,22.42912865,0,0,99,0,200,0,0,0,99,0,200,0,0,0,99.00499725,0,200,0,0,0,99.00499725,0,200,0,0,0,0,0,0,15.85069561,0,0,0,0,0,15.78125095,-0.699999988,-0.039999999,0,1.899999976,-0.360000014,-51.20000076,0,0,0,0,15.85069561,0,-0.01,4,-0.170000002,-10.39999962,20.54069519,15.94069481,70,0.583707035,0,0,15.79861164,0.099010281,15.89861202,1,15.89861202,0.396038294,32.19722366,2,16.29861069,-0.346533149,48.14583588,3,15.94861221,3.78E-06,64.0944519,4,15.94861603,0,80.04306793,5,15.94861603,0.412449509,11.12902832,0.699999988,15.86861229,1,0,0,0,0,129
1020.756231,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,5,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,7,0,0,1,-32,-32,-32,-100,-100,-100,40,25.88541603,100,0.002194405,0.002079588,-0.000259681,2.06E-06,0,0,118.7123108,0,0,0,0,0,0,0,0,0.901600957,15.98958397,241.6733246,-200,-200,0,0,0,0,79.92001343,0,-5.237209797,-0.001724243,-0.000416756,5.49E-06,114.9200134,0,1.668405414,0.004060285,-0.000271304,1.40E-06,114.019989,0,-1.672766924,0.000789282,-0.000227488,2.61E-06,0.007679332,-0.006790423,-0.00025955,1.27E-05,-7.09E-07,0,18.73164177,40,27,60,0,-2.99E-06,1.205386043,-5.90E-05,98.04314423,19.70045662,0,0,99,0,200,0,0,0,99,0,200,0,0,0,99.00499725,0,200,0,0,0,99.00499725,0,200,0,0,0,0,0,0,15.88541698,0,0,0,0,0,15.88541698,-0.699999988,-0.039999999,0,1.899999976,-0.400000006,-51.20000076,0,0,0,0,15.88541698,-0.100000001,-0.01,4,-0.170000002,-10,20.56541634,15.92541695,70,0.755482614,0,0,15.98958397,0.099010281,16.08958435,1,16.08958435,-0.198020563,31.97916794,2,15.88958359,0,47.86875153,3,15.88958359,-3.78E-06,63.7583313,4,15.88957977,0,79.64791107,5,15.88957977,0.317316473,11.26270866,0.699999988,16.05958366,1,0,0,0,0,129
1020.893948,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,5,5,1,2,1,1,1,1,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,7,0,0,1,-32,-32,-32,-100,-100,-100,40,26.05902863,100,-0.005348086,0.002590358,-0.000232603,1.87E-06,0,0,114.4820328,0,0,0,0,0,0,0,0,0.940800965,16.00694466,238.053894,52.94000244,21.53999329,8.839558601,0.019973755,-0.003024101,2.96E-05,73.61999512,0,-5.240110397,1.34E-05,-0.000368118,3.76E-06,96.8500061,0,1.674940228,0.002883578,-0.000231053,1.47E-06,96.8500061,0,-1.707930326,0.001470808,-0.000173902,1.76E-06,-0.011382319,-0.005636823,-0.000140677,1.22E-05,-2.73E-06,0,15.1293354,40,27,60,0.029215556,-2.99E-06,1.105385661,-6.78E-05,102.5286789,22.63833618,0,0,99,0,200,0,0,0,99,0,200,0,0.144756377,0.049996957,-4.34463501,0.859136164,61.91337585,17.16944695,0,0,99.00499725,0,200,0,0,0,0,0,0,16.05902863,0,0,0,0,0,16.00694466,-0.699999988,-0.07,0,2,-0.699999988,-51.20000076,0,0,0,0,16.05902863,0.100000001,-0.01,3.899999857,-0.180000007,-9.100000381,20.7990284,15.96902847,70,0.615832448,0,0,16.00694466,0.099010281,16.10694504,1,16.10694504,-0.198020563,32.01388931,2,15.90694427,3.78E-06,47.9208374,3,15.90694809,-3.78E-06,63.82778168,4,15.90694427,0,79.73472595,5,15.90694427,0.26170519,11.27486134,0.699999988,16.07694435,1,0,0,0,0,129
1021.044545,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,5,5,1,2,1,1,1,1,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,7,0,0,1,-32,-32,-32,-100,-100,-100,40,26.11111259,135,-0.016312242,0.002102832,-0.000199116,1.62E-06,0,0,96.8500061,0,0,0,0,0,0,0,0,1.01920104,16.18055534,237.2495728,52.94000244,21.53999329,8.861037254,0.012414932,-0.002905846,2.96E-05,73.61999512,0,-5.240542412,-0.000617027,-0.000353813,3.76E-06,96.8500061,0,1.675838828,0.002303939,-0.000220295,1.51E-06,96.8500061,0,-1.711520314,0.00193832,-0.000155342,1.47E-06,-0.01059198,-0.005537333,-0.000103683,1.20E-05,-3.83E-06,0,13.92147064,40,27,60,0.168155581,-0.010002985,0.905384898,-0.227494031,110.2921677,22.74185944,0,0,99,0,200,0,0,0,99,0,200,0,0.110401474,0.039996967,-4.244634628,0.686745524,60.93554688,17.16078377,0,0,99.00499725,0,200,0,0,0,0,0,0,16.11111259,0,0,0,0,0,16.11111259,-0.899999976,-0.07,0,1.799999952,-1.090000033,-51.39999771,0,0,0,0,16.11111259,0.100000001,-0.01,3.799999952,-0.270000011,-8.399999619,20.9011116,15.9011116,70,0.722370625,0,0,16.18055534,0.099010281,16.28055573,1,16.28055573,-0.198020563,32.36111069,2,16.08055496,0,48.44166565,3,16.08055496,-3.78E-06,64.5222168,4,16.08055115,0,80.60276794,5,16.08055115,0.277061045,11.39638901,0.699999988,16.25055504,1,0,0,0,0,129
1021.190431,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,5,5,1,2,1,1,1,1,1,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,7,0,0,1,-32,-32,-32,-100,-100,-100,40,26.21527863,150,-0.018785298,0.002248816,-0.000183318,1.41E-06,0,0,98.60997772,0,0,0,0,0,0,0,0,0.833000958,16.25,235.6409302,53.75,19.75999451,8.979090691,-0.01219368,-0.002200127,2.45E-05,81.76998901,0,-5.272738457,-0.002191544,-0.000336647,3.21E-06,98.60998535,0,1.688959479,0.002850003,-0.000197946,1.19E-06,98.60998535,0,-1.746698499,0.002207871,-0.00012674,1.11E-06,-0.013521092,-0.005260223,-4.21E-05,1.17E-05,-5.75E-06,0,11.89681721,40,27,60,0,-0.010002985,0.755384326,-0.195559651,98.99314117,19.54947853,-2.177193165,0.029996976,-5.149638176,0.709190488,154.7965698,23.63497353,0,0,99,0,200,0,0.104001939,0.039996967,-4.194634438,0.686701059,60.71583557,17.15967178,0,0,99.00499725,0,200,0,0,0,0,0,0,16.21527863,0,0,0,0,0,16.21527863,-0.600000024,-0.100000001,0,1,-1.639999986,-51.29999924,0,0,0,0,16.21527863,0,-0.01,3.700000048,-0.330000013,-7.699999809,21.01527786,15.96527863,70,0.715668857,0,0,16.25,0.099010281,16.35000038,1,16.35000038,-0.198020563,32.5,2,16.14999962,1.89E-06,48.65000153,3,16.15000153,0,64.80000305,4,16.15000153,-7.63E-06,80.94999695,5,16.1499939,0.274075031,11.44499969,0.699999988,16.31999969,1,0,0,0,0,113
1021.330239,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,5,5,1,2,1,1,1,1,1,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,7,0,0,1,-32,-32,-32,-100,-100,-100,40,26.31944466,150,-0.03654623,0.003157482,-0.000148425,9.60E-07,0,0,105.2799988,0,0,0,0,0,0,0,0,0.901600957,16.38888931,232.0214996,55.86999512,16.16999817,8.960833549,-0.03344059,-0.001390457,1.88E-05,90.26000977,0,-5.328174591,-0.002636909,-0.000312805,2.59E-06,105.2799988,0,1.679385424,0.000149649,-0.000182828,1.07E-06,105.2799988,0,-1.75784862,0.007452615,-8.67E-05,6.64E-07,-0.019001959,-0.003738294,4.58E-05,1.15E-05,-8.40E-06,0,9.059872627,40,27,60,0,-0.010002985,0.555383563,-0.195059493,99.64315033,19.4994812,-2.175883293,0.029996976,-5.149638176,0.701433003,156.2025146,23.37644196,0,0,99,0,200,0,0.078130096,0.039996967,-4.094634056,0.686133206,60.20491791,17.14548111,0,0,99.00499725,0,200,0,0,0,0,0,0,16.31944466,0,0,0,0,0,16.31944466,-0.800000012,-0.07,0,1.5,-1.169999957,-51.29999924,0,0,0,0,16.31944466,0.100000001,-0.01,3.599999905,-0.310000002,-7.099999905,21.17944527,15.959445,70,0.706704557,0,0,16.38888931,-0.247524753,16.13888931,1,16.13888931,-0.099008389,32.17778015,2,16.03889084,-3.78E-06,48.21666718,3,16.03888702,0,64.2555542,4,16.03888702,7.63E-06,80.29444885,5,16.03889465,0.16216892,11.29722214,0.699999988,16.21389008,1,0,0,0,0,113
