t[s],VfPASP_egoSpd_mps[],VfPASP_egoAcc_mpss[],VfPASP_spdLmt_kph[],VeINP_IVClass[],VfINP_IVLaDis_m[],VfINP_IVLgDis_m[],VeINP_IVID[],VbINP_IVPresent_flg[],VfINP_IVV_mps[],VeINP_RIVClass_enum[],VfINP_RIVLaDis_m[],VfINP_RIVLgDis_m[],VbINP_RIVPresent_flg[],VfINP_RIVV_mps[],VfINP_RIVLaV_mps[],VeINP_NIVLClass_enum[],VfINP_NIVLLaDis_m[],VfINP_NIVLLgDis_m[],VbINP_NIVLPresent_flg[],VfINP_NIVLV_mps[],VfINP_NIVLLaV_mps[],VeINP_NIVRClass_enum[],VfINP_NIVRLaDis_m[],VfINP_NIVRLgDis_m[],VbINP_NIVRPresent_flg[],VfINP_NIVRV_mps[],VfINP_NIVRLaV_mps[],VeINP_NIIVLClass_enum[],VfINP_NIIVLLaDis_m[],VfINP_NIIVLLgDis_m[],VbINP_NIIVLPresent_flg[],VfINP_NIIVLV_mps[],VfINP_NIIVLLaV_mps[],VeINP_NIIVRClass_enum[],VfINP_NIIVRLaDis_m[],VfINP_NIIVRLgDis_m[],VbINP_NIIVRPresent_flg[],VfINP_NIIVRV_mps[],VfINP_NIIVRLaV_mps[],VeINP_RIVLClass_enum[],VfINP_RIVLLaDis_m[],VfINP_RIVLLgDis_m[],VbINP_RIVLPresent_flg[],VfINP_RIVLV_mps[],VfINP_RIVLLaV_mps[],VeINP_RIVRClass_enum[],VfINP_RIVRLaDis_m[],VfINP_RIVRLgDis_m[],VbINP_RIVRPresent_flg[],VfINP_RIVRV_mps[],VfINP_RIVRLaV_mps[],VfINP_RIIVLLaDis_m[],VfINP_RIIVLLgDis_m[],VbINP_RIIVLPresent_flg[],VfINP_RIIVLV_mps[],VfINP_RIIVLLaV_mps[],VfINP_RIIVRLaDis_m[],VfINP_RIIVRLgDis_m[],VbINP_RIIVRPresent_flg[],VfINP_RIIVRV_mps[],VfINP_RIIVRLaV_mps[],VfPASP_ALC_path_C4[],VfPASP_ALC_path_C3[],VfPASP_ALC_path_C2[],VfPASP_ALC_path_C1[],VfPASP_ALC_path_C0[],VfPASP_StPoint0_t_s[],VfPASP_StPoint0_s_m[],VfPASP_StPoint0_v_mps[],VfPASP_StPoint0_a_mpss[],VfPASP_StPoint1_t_s[],VfPASP_StPoint1_s_m[],VfPASP_StPoint1_v_mps[],VfPASP_StPoint1_a_mpss[],VfPASP_StPoint2_t_s[],VfPASP_StPoint2_s_m[],VfPASP_StPoint2_v_mps[],VfPASP_StPoint2_a_mpss[],VfPASP_StPoint3_t_s[],VfPASP_StPoint3_s_m[],VfPASP_StPoint3_v_mps[],VfPASP_StPoint3_a_mpss[],VfPASP_StPoint4_t_s[],VfPASP_StPoint4_s_m[],VfPASP_StPoint4_v_mps[],VfPASP_StPoint4_a_mpss[],VfPASP_StPoint5_t_s[],VfPASP_StPoint5_s_m[],VfPASP_StPoint5_v_mps[],VfPASP_StPoint5_a_mpss[],VfLSSIN_l_LaneMkrOffsLe[],VfLSSIN_Ag_LaneMkrHdgAgLe[],VfLSSIN_Crvt_LaneMkrCrvtLe[],VfLSSIN_dCrvt_LaneMkrCrvtRateLe[],VfLSSIN_l_ViewRngLe[],VfLSSIN_l_StrtRngLe[],VfLSSIN_l_LaneMkrOffsRi[],VfLSSIN_Ag_LaneMkrHdgAgRi[],VfLSSIN_Crvt_LaneMkrCrvtRi[],VfLSSIN_dCrvt_LaneMkrCrvtRateRi[],VfLSSIN_l_ViewRngRi[],VfLSSIN_l_StrtRngRi[],VFLSSIN7_l_LaneMkrOffsNxtLe[],VFLSSIN7_Ag_LaneMkrHdgAgNxtLe[],VFLSSIN7_Crvt_LaneMkrCrvtNxtLe[],VFLSSIN7_dCrvt_LaneMkrCrvtRateNxtLe[],VfLSSIN7_l_ViewRngNxtLe[],VFLSSIN7_l_StrtRngNxtLe[],VFLSSIN7_l_LaneMkrOffsNxtRi[],VFLSSIN7_Ag_LaneMkrHdgAgNxtRi[],VFLSSIN7_Crvt_LaneMkrCrvtNxtRi[],VFLSSIN7_dCrvt_LaneMkrCrvtRateNxtRi[],VfLSSIN7_l_ViewRngNxtRi[],VFLSSIN7_l_StrtRngNxtRi[],VeINP_TSRID0Proc[],VeINP_TSRID1Proc[],VeINP_TSRID2Proc[],VfINP_TSRSignLatDist0Proc_m[],VfINP_TSRSignLatDist1Proc_m[],VfINP_TSRSignLatDist2Proc_m[],VfINP_TSRSignLgDist0Proc_m[],VfINP_TSRSignLgDist1Proc_m[],VfINP_TSRSignLgDist2Proc_m[],VuINP_TSRSignName0Proc[],VuINP_TSRSignName1Proc[],VuINP_TSRSignName2Proc[],VfINP_LH_Line_First_C0_0[],VfINP_LH_Line_First_C0_1[],VfINP_LH_Line_First_C1_0[],VfINP_LH_Line_First_C1_1[],VfINP_LH_Line_First_C2_0[],VfINP_LH_Line_First_C2_1[],VfINP_LH_Line_First_C3_0[],VfINP_LH_Line_First_C3_1[],VfINP_LH_First_VR_End_0[],VfINP_LH_First_VR_End_1[],VfINP_LH_First_VR_Start_0[],VfINP_LH_First_VR_Start_1[],VfINP_LA_Line_C0_0[],VfINP_LA_Line_C0_1[],VfINP_LA_Line_C1_0[],VfINP_LA_Line_C1_1[],VfINP_LA_Line_C2_0[],VfINP_LA_Line_C2_1[],VfINP_LA_Line_C3_0[],VfINP_LA_Line_C3_1[],VfINP_LA_View_Range_End_0[],VfINP_LA_View_Range_End_1[],VfINP_LA_View_Range_Start_0[],VfINP_LA_View_Range_Start_1[]
0.0942565,6.5625,3.11674118,70,0,0.005,198.5,0,0,0,0,0,0,0,0,0,1,-3.144629955,11.40080643,1,11.44985294,0.114467949,0,99.00499725,200,0,0,0,0,99,200,0,0,0,0,99,200,0,0,0,0,0,0,0,7.000000477,0,0,0,0,0,7.000000477,0,0,0,0,7.000000477,0,0,0,0,7.000000477,0,0,1.26338E-07,5.20357E-05,0.012576723,-0.243437409,0,0,6.5625,3.11674118,1,8.5625,8.5625,2,2,19.0625,10.5,1.9375,3,31.36250114,12.30000114,1.800001144,4,45.5625,14.19999886,1.899997711,5,61.36250305,15.80000305,1.600004196,1.358807445,0.011708592,0.000104782,-5.36112E-07,154.8196564,-0.000190735,-1.818746209,0.016999723,-0.000116369,-4.53E-12,175.8196411,-0.000190735,4.755810261,0.006515769,-0.00020041,1.98011E-07,141.7796783,0,0,0,0,6E-05,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.365779877,1.809704781,-0.011387825,-0.016652107,-5.14984E-05,5.81741E-05,7.26432E-08,-9.77889E-08,154.8200073,175.8200073,0,0,-4.755336285,0,-0.007346153,0,-0.000100136,0,5.57862E-07,0,141.7799988,-200,0,-200
0.1652835,6.5625,3.11674118,70,0,0.005,198.5,0,0,0,0,0,0,0,0,0,1,-3.144630194,11.65080738,1,11.44813442,0.228958741,0,99.00499725,200,0,0,0,0,99,200,0,0,0,0,99,200,0,0,0,0,0,0,0,7.291667461,0,0,0,0,0,7.291667461,0,0,0,0,7.291667461,0,0,0,0,7.291667461,0,0,1.26338E-07,5.20357E-05,0.012576723,-0.243437409,0,0,6.5625,3.11674118,1,8.5625,8.5625,2,2,19.0625,10.5,1.9375,3,31.36250114,12.30000114,1.800001144,4,45.5625,14.19999886,1.899997711,5,61.36250305,15.80000305,1.600004196,1.36553812,0.01137797,0.000103295,-1.68634E-07,154.8196564,-0.000190735,-1.806911111,0.016366001,-0.000116351,-4.71E-13,175.8196411,-0.000190735,4.757831097,0.007150814,-0.000199355,7.64719E-07,141.7796783,0,0,0,0,6E-05,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.370906234,1.801212788,-0.011281013,-0.016122818,-5.14984E-05,5.81741E-05,4.65661E-08,-9.77889E-08,154.8200073,175.8200073,0,0,-4.758143425,0,-0.007243156,0,-9.91821E-05,0,5.57862E-07,0,141.7799988,-200,0,-200
0.2260145,7.062500477,3.371541262,70,0,0.005,198.5,0,0,0,0,0,0,0,0,0,1,-3.144629955,11.95080853,1,11.49985123,0.114967793,0,99.00499725,200,0,0,0,0,99,200,0,0,0,0,99,200,0,0,0,0,0,0,0,7.416666985,0,0,0,0,0,7.416666985,0,0,0,0,7.416666985,0,0,0,0,7.416666985,0,0,1.8056E-09,5.24488E-05,0.012308429,-0.237348497,0,0,7.062500477,3.371541262,1,8.862500191,8.862500191,1.799999714,2,19.56250191,10.70000172,1.837501526,3,32.26250076,12.69999886,1.999997139,4,46.5625,14.29999924,1.600000381,5,62.46250153,15.90000153,1.600002289,1.366230607,0.011095465,0.000103036,-2.60117E-08,153.0396576,-0.000190735,-1.811221957,0.016259024,-0.000114853,4.41E-07,170.5496521,-0.000190735,4.747829437,0.007671222,-0.000200021,2.02196E-07,136.2496796,0,0,0,0,6E-05,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.378031731,1.800239563,-0.010837555,-0.016013145,-5.14984E-05,5.72205E-05,2.6077E-08,2.14204E-08,153.0400085,170.5499878,0,0,-4.749341965,0,-0.007735252,0,-9.91821E-05,0,5.56E-07,0,136.25,-200,0,-200
0.2896055,7.062500477,3.371541262,70,0,0.005,198.5,0,0,0,0,0,0,0,0,0,1,-3.144630194,12.15080929,1,11.49985123,0.114967793,0,99.00499725,200,0,0,0,0,99,200,0,0,0,0,99,200,0,0,0,0,0,0,0,7.604167461,0,0,0,0,0,7.604167461,0,0,0,0,7.604167461,0,0,0,0,7.604167461,0,0,1.8056E-09,5.24488E-05,0.012308429,-0.237348497,0,0,7.062500477,3.371541262,1,8.862500191,8.862500191,1.799999714,2,19.56250191,10.70000172,1.837501526,3,32.26250076,12.69999886,1.999997139,4,46.5625,14.29999924,1.600000381,5,62.46250153,15.90000153,1.600002289,1.37355423,0.01067419,0.000103936,7.31684E-07,153.0396576,-0.000190735,-1.801284313,0.015882863,-0.0001145,7.938E-08,170.5496521,-0.000190735,4.750593185,0.007631538,-0.000198739,4.71201E-07,136.2496796,0,0,0,0,6E-05,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.378908634,1.795157671,-0.010398865,-0.01564312,-5.24521E-05,5.72205E-05,1.49012E-08,1.86265E-09,153.0400085,170.5499878,0,0,-4.750940323,0,-0.007533073,0,-9.91821E-05,0,5.56E-07,0,136.25,-200,0,-200
0.3597555,7.062500477,3.371541262,70,0,0.005,198.5,0,0,0,0,0,0,0,0,0,1,-3.094630003,12.50081062,1,11.49985123,0.114967793,0,99.00499725,200,0,0,0,0,99,200,0,0,0,0,99,200,0,0,0,0,0,0,0,7.979166985,0,0,0,0,0,7.979166985,0,0,0,0,7.979166985,0,0,0,0,7.979166985,0,0,1.8056E-09,5.24488E-05,0.012308429,-0.237348497,0,0,7.062500477,3.371541262,1,8.862500191,8.862500191,1.799999714,2,19.56250191,10.70000172,1.837501526,3,32.26250076,12.69999886,1.999997139,4,46.5625,14.29999924,1.600000381,5,62.46250153,15.90000153,1.600002289,1.379632354,0.01022035,0.00010378,1.99025E-06,150.4496613,-0.000190735,-1.792402744,0.015235647,-0.000112443,2.02201E-07,168.2196503,-0.000190735,4.735158443,0.008188124,-0.000200384,-1.67381E-07,137.1696777,0,0,0,0,6E-05,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.387624145,1.782154679,-0.009752274,-0.014858246,-5.24521E-05,5.62668E-05,2.6077E-08,5.86733E-08,150.4500122,168.2200012,0,0,-4.737174511,0,-0.008066177,0,-0.000100136,0,6.27711E-07,0,137.1700134,-200,0,-200
0.4183925,7.604167461,3.70474124,70,0,0.005,198.5,0,0,0,0,0,0,0,0,0,1,-3.09463048,12.75081158,1,11.54984856,0.115467638,0,99.00499725,200,0,0,0,0,99,200,0,0,0,0,99,200,0,0,0,0,0,0,0,8.104166985,0,0,0,0,0,8.104166985,0,0,0,0,8.104166985,0,0,0,0,8.104166985,0,0,-1.14413E-08,5.15535E-05,0.011171672,-0.224757433,0,0,7.604167461,3.70474124,1,9.404167175,9.404167175,1.799999714,2,20.70416832,11.30000114,1.895833969,3,34.00416946,13.30000114,2,4,49.10416794,15.09999847,1.79999733,5,66.00417328,16.90000534,1.800006866,1.384166837,0.009731294,0.000101917,9.27982E-07,148.4496613,-0.000190735,-1.795432091,0.014815656,-0.000111582,7.65201E-07,164.7796478,-0.000190735,4.718807697,0.008093622,-0.000201225,-7.60871E-07,128.0296936,0,0,0,0,6E-05,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.38962841,1.792205095,-0.009516716,-0.014621735,-4.95911E-05,5.53131E-05,-3.72529E-08,-3.44589E-08,148.4500122,164.7799988,0,0,-4.714566231,0,-0.008060455,0,-0.000101089,0,6.9011E-07,0,128.0299988,-200,0,-200
0.4935185,7.604167461,3.70474124,70,0,0.005,198.5,0,0,0,0,0,0,0,0,0,1,-3.094630003,13.20081329,1,11.64809513,0.232957885,0,99.00499725,200,0,0,0,0,99,200,0,0,0,0,99,200,0,0,0,0,0,0,0,8.437500954,0,0,0,0,0,8.437500954,0,0,0,0,8.437500954,0,0,0,0,8.437500954,0,0,-1.14413E-08,5.15535E-05,0.011171672,-0.224757433,0,0,7.604167461,3.70474124,1,9.404167175,9.404167175,1.799999714,2,20.70416832,11.30000114,1.895833969,3,34.00416946,13.30000114,2,4,49.10416794,15.09999847,1.79999733,5,66.00417328,16.90000534,1.800006866,1.379350424,0.008312235,0.00010178,1.96638E-06,148.4496613,-0.000190735,-1.778255463,0.015156159,-0.000110684,8.06816E-08,164.7796478,-0.000190735,4.719540119,0.00775682,-0.000199439,6.54484E-07,128.0296936,0,0,0,0,6E-05,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.384598017,1.771879435,-0.007891655,-0.015252113,-5.14984E-05,5.53131E-05,-1.4808E-07,1.4063E-07,148.4500122,164.7799988,0,0,-4.719914913,0,-0.007596016,0,-9.91821E-05,0,6.9011E-07,0,128.0299988,-200,0,-200
0.5591835,8.291666985,4.106541157,70,0,0.005,198.5,0,0,0,0,0,0,0,0,0,1,-3.094630003,13.30081367,1,11.74983978,0.117467009,0,99.00499725,200,0,0,0,0,99,200,0,0,0,0,99,200,0,0,0,0,0,0,0,8.666666985,0,0,0,0,0,8.666666985,0,0,0,0,8.666666985,0,0,0,0,8.666666985,0,0,3.31708E-07,5.18901E-05,0.01022035,-0.206385195,0,0,8.291666985,4.106541157,1,10.29166698,10.29166698,2,2,22.58333397,12.29166698,2,3,36.58333588,14.00000191,1.708334923,4,52.58333588,16,1.999998093,5,70.58333588,18,2,1.390466332,0.008574619,0.000102238,2.39408E-06,149.2796631,-0.000190735,-1.778015852,0.014199866,-0.000109138,4.51863E-07,163.5896606,-0.000190735,4.69342804,0.007223414,-0.000203024,1.87605E-07,148.7496643,0,0,0,0,6E-05,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.394266605,1.76794064,-0.008713722,-0.013271332,-5.34058E-05,5.53131E-05,-7.45058E-09,7.63685E-08,149.2799988,163.5899963,0,0,-4.694633484,0,-0.006869316,0,-0.000101089,0,4.74043E-07,0,148.75,-200,0,-200
0.6235955,8.291666985,4.106541157,70,0,0.005,198.5,0,0,0,0,0,0,0,0,0,1,-3.044630051,13.50081444,1,11.74983978,0.117467009,0,99.00499725,200,0,0,0,0,99,200,0,0,0,0,99,200,0,0,0,0,0,0,0,8.916667938,0,0,0,0,0,8.916667938,0,0,0,0,8.916667938,0,0,0,0,8.916667938,0,0,3.31708E-07,5.18901E-05,0.01022035,-0.206385195,0,0,8.291666985,4.106541157,1,10.29166698,10.29166698,2,2,22.58333397,12.29166698,2,3,36.58333588,14.00000191,1.708334923,4,52.58333588,16,1.999998093,5,70.58333588,18,2,1.390647173,0.008650257,0.000108665,4.81031E-06,149.2796631,-0.000190735,-1.768896818,0.013244991,-0.000111208,-1.83032E-06,163.5896606,-0.000190735,4.695920467,0.00682555,-0.000202437,4.69468E-07,148.7496643,0,0,0,0,6E-05,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.395929456,1.762782574,-0.008619308,-0.0128479,-5.62668E-05,5.62668E-05,3.1665E-08,1.58325E-08,149.2799988,163.5899963,0,0,-4.696272373,0,-0.006644249,0,-0.000101089,0,4.74043E-07,0,148.75,-200,0,-200
0.7010965,8.291666985,4.106541157,70,0,0.005,198.5,0,0,0,0,0,0,0,0,0,1,-3.044629812,13.80081558,1,11.79983711,0.117966853,0,99.00499725,200,0,0,0,0,99,200,0,0,0,0,99,200,0,0,0,0,0,0,0,9.270833969,0,0,0,0,0,9.270833969,0,0,0,0,9.270833969,0,0,0,0,9.270833969,0,0,3.31708E-07,5.18901E-05,0.01022035,-0.206385195,0,0,8.291666985,4.106541157,1,10.29166698,10.29166698,2,2,22.58333397,12.29166698,2,3,36.58333588,14.00000191,1.708334923,4,52.58333588,16,1.999998093,5,70.58333588,18,2,1.396808147,0.008000107,0.000108431,6.46939E-06,148.209671,-0.000190735,-1.762420893,0.012248168,-0.000111391,-3.47018E-06,161.1396484,-0.000190735,4.675990105,0.006905185,-0.000207689,-1.67445E-07,151.0596619,0,0,0,0,6E-05,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.403502822,1.752899647,-0.00760746,-0.011419296,-5.81741E-05,5.72205E-05,5.58794E-08,-4.74975E-08,148.2099915,161.1400146,0,0,-4.677968502,0,-0.006511688,0,-0.000103951,0,2.59839E-07,0,151.0599976,-200,0,-200
