timestamps,VbINP_IVPresent_flg,VeAGSM_ConftPathValid_enum,VeINP_IVClass,VfAGSM_1ConftPathLength_m,VfAGSM_1ConftPathTypC3_co,VfAGSM_2ConftPathLength_m,VfAGSM_2ConftPathTypC3_co,VfAGSM_3ConftPathLength_m,VfAGSM_3ConftPathTypC3_co,VfAGSM_ConftPathTypC0_m,VfAGSM_ConftPathTypC1_rad,VfAGSM_ConftPathTypC2_co,VfAGSM_LHLaneMkr0C0_m,VfAGSM_LHLaneMkr0C1_rad,VfAGSM_LHLaneMkr0C2_co,VfAGSM_LHLaneMkr0C3_co,VfAGSM_LHLaneMkr0EdRange_m,VfAGSM_LHLaneMkr0StRange_m,VfAGSM_LHLaneMkr1C0_m,VfAGSM_LHLaneMkr1C1_rad,VfAGSM_LHLaneMkr1C2_co,VfAGSM_LHLaneMkr1C3_co,VfAGSM_LHLaneMkr1EdRange_m,VfAGSM_LHLaneMkr1StRange_m,VfAGSM_VehicleSpd_mps,VfINP_IVAcc_mpss,VfINP_IVHeading_rad,VfINP_IVLaDis_m,VfINP_IVLaSpd_mps,VfINP_IVLgDis_m,VfINP_IVV_mps
0.4820522,0,1,0,25.71235657,-1.41E-06,40,-6.83E-07,50.13989639,0,-0.139345184,0.008270611,-7.15E-06,-1.461008906,-0.008408546,2.77E-05,9.85E-07,57.17999268,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
0.5109612,0,1,0,25.71235657,-1.39E-06,40,-6.80E-07,50.13539886,0,-0.137572885,0.0083183,-7.17E-06,-1.461034775,-0.008698463,2.77E-05,9.85E-07,57.19000244,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
0.5387592,0,1,0,25.71235657,-1.39E-06,40,-6.79E-07,50.40179825,0,-0.137808591,0.008362199,-7.18E-06,-1.461034775,-0.008698463,2.77E-05,9.85E-07,57.19000244,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
0.5676982,0,1,0,25.71235657,-1.38E-06,40,-6.79E-07,50.66819763,0,-0.138073966,0.008390885,-7.19E-06,-1.461034775,-0.008698463,2.77E-05,9.85E-07,57.19000244,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
0.5976322,0,1,0,25.71235657,-1.38E-06,40,-6.79E-07,50.93459702,0,-0.138254851,0.00840997,-7.20E-06,-1.461034775,-0.008698463,2.77E-05,9.85E-07,57.19000244,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
0.6215922,0,1,0,25.71235657,-1.38E-06,40,-6.79E-07,51.2009964,0,-0.138372853,0.008422923,-7.21E-06,-1.461034775,-0.008698463,2.77E-05,9.85E-07,57.19000244,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
0.6561722,0,1,0,25.71235657,-1.39E-06,40,-6.79E-07,51.48989868,0,-0.138878092,0.008393349,-7.23E-06,-1.461013079,-0.008605003,2.77E-05,9.85E-07,57.30999756,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
0.6865332,0,1,0,25.71235657,-1.39E-06,40,-6.79E-07,51.50159836,0,-0.138808355,0.008386253,-7.24E-06,-1.461013079,-0.008605003,2.77E-05,9.85E-07,57.30999756,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
0.7126612,0,1,0,25.71235657,-1.39E-06,40,-6.79E-07,51.51329803,0,-0.138760835,0.008381739,-7.25E-06,-1.461013079,-0.008605003,2.77E-05,9.85E-07,57.30999756,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
0.7394092,0,1,0,25.71235657,-1.37E-06,40,-6.78E-07,51.5447998,0,-0.137250751,0.00846147,-7.25E-06,-1.461119175,-0.008885384,2.77E-05,9.83E-07,57.52999878,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
